com.samsung.health.floors_climbed,6195017,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-01 03:01:11.999,,2021-10-01 03:15:13.394,2021-10-01 03:15:13.252,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 03:01:30.001,1998358b-9452-49b5-8fdf-65b283a03c24,
2021-10-01 00:39:46.000,,2021-10-01 00:47:35.941,2021-10-01 00:47:35.860,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 00:40:04.999,7ca3b152-b032-48a9-a6ca-57bec65ff150,
2021-10-01 08:37:28.001,,2021-10-01 08:46:45.069,2021-10-01 08:46:45.018,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 08:37:48.000,60da38be-be27-486c-99c8-4887e7134ff6,
2021-10-05 00:18:51.999,,2021-10-05 00:37:02.556,2021-10-05 00:19:50.545,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 00:20:19.000,70262a9e-33da-4362-9bf7-9f8753c7608f,
2021-10-05 23:17:03.000,,2021-10-05 23:26:44.321,2021-10-05 23:26:44.076,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 23:17:19.001,4330669e-2103-4123-a967-9eaed6d9ae63,
2021-10-06 00:39:11.000,,2021-10-06 00:44:09.221,2021-10-06 00:44:09.221,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 00:39:36.000,112c7206-5456-4613-b5e8-d09e7c3cf672,
2021-10-06 23:17:11.001,,2021-10-06 23:18:43.960,2021-10-06 23:18:43.843,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 23:17:28.000,e1bc97ca-0d62-4dfb-b7f1-578f6b2c6009,
2021-10-07 00:37:45.999,,2021-10-07 00:38:20.639,2021-10-07 00:38:20.469,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 00:38:01.001,80a245a5-ef7d-48bc-b532-afddc08a85a7,
2021-10-07 06:29:29.000,,2021-10-07 06:32:39.266,2021-10-07 06:32:39.096,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 06:29:53.000,22424c31-b9d4-4546-81e0-3f3b91f216ec,
2021-10-01 05:04:59.000,,2021-10-01 05:14:57.170,2021-10-01 05:14:57.051,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-01 05:05:09.000,51c6ff2d-0191-4440-89e9-f410ca4a012f,
2021-10-07 08:18:07.000,,2021-10-07 09:26:15.268,2021-10-07 09:26:15.064,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 08:18:23.000,fc956a25-d565-4cc3-a345-a6fbd500b677,
2021-10-08 08:36:21.999,,2021-10-08 08:39:04.140,2021-10-08 08:39:03.974,3.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 08:36:52.010,551b202a-2225-4bb2-b2e8-b97b8b515e50,
2021-10-05 00:42:31.000,,2021-10-05 00:47:03.970,2021-10-05 00:47:03.855,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-05 00:42:52.000,401eed90-1702-4b53-86a1-fa23f91d2621,
2021-10-08 08:34:46.999,,2021-10-08 08:35:39.969,2021-10-08 08:35:39.815,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 08:35:00.000,16f89be4-6359-4edc-a268-7103da2fd021,
2021-10-06 00:41:21.001,,2021-10-06 00:44:09.519,2021-10-06 00:44:09.277,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-06 00:42:59.001,147945b7-010f-426d-adb9-7ff9569fc69e,
2021-10-09 03:46:19.000,,2021-10-09 03:46:57.841,2021-10-09 03:46:57.671,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 03:46:47.000,e935f945-2e1d-4a44-b695-bc10d1ab44bf,
2021-10-09 03:35:07.001,,2021-10-09 03:37:54.608,2021-10-09 03:37:54.572,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 03:35:28.001,6e507eca-2e79-486b-a924-74c6038b9989,
2021-10-12 09:53:27.000,,2021-10-12 09:56:20.555,2021-10-12 09:53:44.519,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 09:53:55.000,f748f1bf-27a5-42f4-ae65-f273404d910d,
2021-10-07 00:39:54.000,,2021-10-07 00:44:20.128,2021-10-07 00:44:20.020,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 00:40:13.999,20c53f31-dd2d-4b97-9d0e-88262ff30a71,
2021-10-12 00:09:44.000,,2021-10-12 00:16:58.773,2021-10-12 00:16:58.458,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 00:10:12.000,3ca93efd-c639-4f2b-8e32-8a37359fb687,
2021-10-13 00:29:38.000,,2021-10-13 00:29:51.712,2021-10-13 00:29:51.610,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 00:29:47.000,45ed60b3-7701-46bb-b293-cefe2272ac0c,
2021-10-07 23:12:00.000,,2021-10-07 23:15:20.980,2021-10-07 23:15:20.677,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-07 23:12:18.000,4cb39593-d0b4-4879-9725-e30b7e016e33,
2021-10-13 00:20:11.000,,2021-10-13 00:26:37.247,2021-10-13 00:26:37.175,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 00:20:33.000,a93d7cb9-6273-4089-bde0-06fa0e5caeb9,
2021-10-13 04:53:00.001,,2021-10-13 04:58:44.344,2021-10-13 04:58:44.290,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 04:53:20.999,3c5b9374-2452-46d2-8dae-7dfca773dddf,
2021-10-08 08:45:35.000,,2021-10-08 08:48:32.851,2021-10-08 08:48:32.769,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-08 08:45:54.000,9168d5aa-bc14-485e-8610-1e86f5d47db1,
2021-10-13 04:18:55.000,,2021-10-13 04:19:33.463,2021-10-13 04:19:33.380,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 04:19:15.000,3a9136b3-79ca-47f8-90fb-b01287bb7c99,
2021-10-20 00:41:50.001,,2021-10-20 00:48:01.076,2021-10-20 00:47:59.732,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-20 00:42:16.999,ddc8a01a-d69a-4b4e-a1d8-646b03d7a7bd,
2021-10-09 04:41:24.001,,2021-10-09 04:45:24.635,2021-10-09 04:45:24.505,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-09 04:41:59.001,1829948e-497d-4da9-a118-e2998f54631d,
2021-10-19 10:35:18.001,,2021-10-19 11:14:38.775,2021-10-19 11:14:38.456,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-19 10:35:40.000,0967fd8a-f0cf-4986-9d63-f060f4877cdc,
2021-10-22 08:02:43.000,,2021-10-22 09:03:20.162,2021-10-22 09:03:20.059,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-22 08:03:09.000,ee0e012d-635b-4ce0-ac05-abd0d60eac2b,
2021-10-12 10:03:43.000,,2021-10-12 10:09:20.538,2021-10-12 10:09:20.435,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-12 10:03:55.000,4f575092-ba15-45ba-b49c-f0adca17b4e0,
2021-10-21 23:11:42.000,,2021-10-22 01:42:18.763,2021-10-22 01:42:18.703,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-21 23:11:59.000,5031fe81-deee-44c5-bcf2-640d6f530011,
2021-10-27 07:21:53.000,,2021-10-27 07:22:57.976,2021-10-27 07:22:57.876,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 07:22:33.001,0b607e48-1df7-4dde-ab2a-5c6e5048ef38,
2021-10-13 00:47:36.000,,2021-10-13 00:50:24.957,2021-10-13 00:50:24.895,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 00:48:09.000,5d35a01d-706b-4563-828b-80f60a28e71c,
2021-10-27 06:20:35.000,,2021-10-27 06:22:32.606,2021-10-27 06:22:32.457,2.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-27 06:21:25.000,ea98f463-7188-4f5a-a98d-6ca0e6cb5639,
2021-10-13 05:00:20.001,,2021-10-13 06:09:28.363,2021-10-13 06:09:28.294,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-13 05:00:59.000,87259231-ea75-4a70-a137-2e72734b4505,
2021-10-28 00:32:22.001,,2021-10-28 00:55:13.501,2021-10-28 00:55:13.363,1.0,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-28 00:32:37.000,cabbcafb-ed95-40b7-b589-5ef7c27b4e2a,
