com.samsung.health.sleep_stage,6195017,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-09-30 14:15,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,28f708e2-f618-4746-9aac-07fcffedb2b0
31:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:47.9,43:47.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,32:00.0,c0d1a5c0-4d38-4d40-ac65-4777f886e84b
32:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.0,43:48.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,48:00.0,6942b41c-95e0-4fdf-8a87-0dce28752933
48:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.0,43:48.0,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,01:00.0,245f78f5-8e21-48a7-97ad-dfcf5f0c97a1
01:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.0,43:48.0,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,06:00.0,c7510319-4992-4ae2-bf10-42e58649ad5f
06:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.1,43:48.1,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,07:00.0,f05fe171-3dfc-4fae-bcd9-ad5b4001002d
07:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.1,43:48.1,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,10:00.0,2569fc04-ba0a-49ac-9c87-0edc2fbf0851
10:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.1,43:48.1,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,11:00.0,ea86a23a-065f-4aaf-af71-05446a631d39
11:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,12:00.0,cc65f73c-65ec-46ae-b9c1-05a03b072df0
12:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,13:00.0,3d471418-9f06-4c9b-927e-53452cd71f15
13:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,17:00.0,c053f8a0-73f5-4ba1-9ba4-f55e8ed8d569
17:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,19:00.0,6d933651-a394-4a4b-978f-5ef8d221b7f1
19:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,31:00.0,39137cde-743c-4859-bd4a-5de350d470f4
31:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,34:00.0,28f24ce0-cc74-4e6c-9dc6-b38301ef8811
34:00.0,936eb40a-a8c7-49b8-90c1-9e2450863b03,,43:48.2,43:48.2,40004,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,36:00.0,e89ea656-5119-4a30-8196-0bfda27f5d8d
43:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,00:00.0,f76ff0fd-8d2e-479b-9d84-f4219caad7d3
00:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,02:00.0,bf1cd740-a926-4ae2-9930-59cf8da52c17
02:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,08:00.0,2834f7f1-1866-49ec-b2c3-a5815353bd9f
08:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,09:00.0,f12437b7-3ce5-440b-81cd-7e19da53bc87
09:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,15:00.0,7792ec07-24f1-4fd5-9a3e-71372d4c798c
15:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,18:00.0,4dcd3217-f239-41f0-8aeb-0e3c0a17cc02
18:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,32:00.0,2d0f5304-1b6d-4b7c-960e-0fc6e70d1a21
32:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40003,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,39:00.0,9cc3bc60-45a4-4c50-83b1-2d973d3c21fa
39:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,41:00.0,917f6cbd-4100-41a4-a9b6-1a933a8b2758
41:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:47.9,43:47.9,40002,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,49:00.0,85cb12a4-0769-4d40-90a5-ebae28761b25
49:00.0,2ff2e451-efa5-44ef-8cf5-325a8815d838,,43:48.0,43:48.0,40001,UTC+0900,6fPiwL19M5,com.sec.android.app.shealth,51:00.0,86644da8-2d05-4883-982d-0fca5622b9a6
