com.samsung.shealth.activity.day_summary,6195017,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
12054,7218038,90,0,2021-10-05 07:03:11.114,2021-10-01 01:43:40.417,-1,660000,133,8390.106,455.51346,5325f532-f937-42e5-b265-a3c7ca862551.extra_data.json,6fPiwL19M5,12319,com.sec.android.app.shealth,7205719,22860000,5325f532-f937-42e5-b265-a3c7ca862551,1633046400000,
0,0,90,0,2021-10-01 01:43:42.135,2021-10-01 01:43:42.135,-1,0,0,0.0,0.0,efac8932-8c93-4be6-a134-9e55f213affb.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,0,-1,efac8932-8c93-4be6-a134-9e55f213affb,1630800000000,
4519,2829700,90,0,2021-10-05 07:03:06.239,2021-10-01 01:43:44.002,-1,540000,52,3345.8298,248.23997,1bc85f57-0eea-47e9-94f2-1884c6fb7653.extra_data.json,6fPiwL19M5,2400,com.sec.android.app.shealth,2827300,31200000,1bc85f57-0eea-47e9-94f2-1884c6fb7653,1631145600000,
3561,2265469,90,0,2021-10-05 07:03:07.306,2021-10-01 01:43:46.618,-1,240000,41,2658.73,181.52997,e4e0eb1d-0d81-4fd3-8589-fe9624c31564.extra_data.json,6fPiwL19M5,2575,com.sec.android.app.shealth,2262894,30420000,e4e0eb1d-0d81-4fd3-8589-fe9624c31564,1631664000000,
0,0,90,0,2021-10-01 01:43:41.589,2021-10-01 01:43:41.589,-1,0,0,0.0,0.0,84dd3165-42ed-4903-a9b8-fbd9d80ee197.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,0,-1,84dd3165-42ed-4903-a9b8-fbd9d80ee197,1630713600000,
0,0,90,0,2021-10-01 01:43:43.386,2021-10-01 01:43:43.386,-1,0,0,0.0,0.0,a741b620-b26e-4ae7-aa7d-84d43fe0180b.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,0,-1,a741b620-b26e-4ae7-aa7d-84d43fe0180b,1630972800000,
0,0,90,0,2021-10-01 01:43:42.856,2021-10-01 01:43:42.856,-1,0,0,0.0,0.0,66be99f8-f819-4b95-8e67-352c31dc44ad.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,0,-1,66be99f8-f819-4b95-8e67-352c31dc44ad,1630886400000,
3976,2541577,90,0,2021-10-05 07:03:06.734,2021-10-01 01:43:44.705,-1,420000,46,3030.17,200.51999,aeb23d39-854f-4d8c-8755-abf53d9c6b63.extra_data.json,6fPiwL19M5,2831,com.sec.android.app.shealth,2538746,32880000,aeb23d39-854f-4d8c-8755-abf53d9c6b63,1631318400000,
1628,1069808,90,0,2021-10-05 07:03:08.240,2021-10-01 01:43:49.466,-1,60000,18,1258.7002,80.51001,815900ca-dc86-4694-94a3-c3aff3bc460f.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,1069808,35100000,815900ca-dc86-4694-94a3-c3aff3bc460f,1632182400000,
2616,1699276,90,0,2021-10-05 07:03:06.464,2021-10-01 01:43:44.347,-1,300000,31,1942.2599,134.98001,b2ac9814-fbbd-4ce3-b26a-3402d21b7c6d.extra_data.json,6fPiwL19M5,0,com.sec.android.app.shealth,1699276,32580000,b2ac9814-fbbd-4ce3-b26a-3402d21b7c6d,1631232000000,
