com.samsung.shealth.exercise,6195017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid
653fc8af-13bd-456e-b47e-182053e26b46.live_data_internal.json,,,33,,,,653fc8af-13bd-456e-b47e-182053e26b46.sensing_status.json,7,,,,1,50,,,,,,619539,,,,52:32.5,1001,,70.887,,98,30001,,70.858,124,04:57.4,02:53.1,,1.3333334,94.52189,75,976,659,,33,107,,,UTC+0900,DQQ9M5Fmpd,,,653fc8af-13bd-456e-b47e-182053e26b46.com.samsung.health.exercise.live_data.json,,1.0636941,com.sec.android.app.shealth,,,,02:52.1,653fc8af-13bd-456e-b47e-182053e26b46
,,,,1,,,,4,0,0,,,,,,,,,869084,,,,16:01.0,1001,,,,,,,,,34:05.2,34:05.2,,1.5555556,,,,1130.75,,58.83,,,,UTC+0900,1pqYBn0PvJ,,,ee13465b-ad98-4745-88a1-6eb6255928ce.com.samsung.health.exercise.live_data.json,,1.3010825,com.sec.android.app.shealth,,,,30:30.0,ee13465b-ad98-4745-88a1-6eb6255928ce
,,,,1,,,,4,0,0,,,,,,,,,844504,,,,43:00.0,1001,,,,,30001,,,,35:00.1,35:00.1,,1.5555556,,,1341,1003.27997,,67.14,,,,UTC+0900,1pqYBn0PvJ,,,7282e2b5-e994-4d9a-8507-05cc6b0c4d58.com.samsung.health.exercise.live_data.json,,1.1880109,com.sec.android.app.shealth,,,,57:04.0,7282e2b5-e994-4d9a-8507-05cc6b0c4d58
,,,,1,,,,4,0,0,,,,,,,,,985668,,,,40:17.0,1001,,,,,30001,,,,15:02.2,15:02.2,,1.4166666,,,1724,1280.8,,91.29,,,,UTC+0900,1pqYBn0PvJ,,,2df200c8-c143-43cb-a92b-1cf19b72ca74.com.samsung.health.exercise.live_data.json,,1.2994235,com.sec.android.app.shealth,,,,56:42.0,2df200c8-c143-43cb-a92b-1cf19b72ca74
,,,,1,,,,4,0,0,,,,,,,,,677716,,,,00:05.0,1001,,,,,,,,,12:06.2,12:06.2,,1.5833334,,,,887.23,,46.07,,,,UTC+0900,1pqYBn0PvJ,,,a1e73107-11d8-40e3-a8ef-d49d96e72241.com.samsung.health.exercise.live_data.json,,1.3091471,com.sec.android.app.shealth,,,,11:22.0,a1e73107-11d8-40e3-a8ef-d49d96e72241
,,,,1,,,,4,0,0,,,,,,,,,949997,,,,38:14.0,1001,,,,,30001,,,,35:02.2,35:02.2,,1.5833334,,,1585,1097.27,,85.73,,,,UTC+0900,1pqYBn0PvJ,,,5f1a5351-da20-4d66-9607-ec68f05f7493.com.samsung.health.exercise.live_data.json,,1.1550246,com.sec.android.app.shealth,,,,54:03.0,5f1a5351-da20-4d66-9607-ec68f05f7493
,,,,1,,,,4,0,0,,,,,,,,,686556,,,,41:25.0,1001,,,,,,,,,35:00.9,35:00.9,,1.5833334,,,,867.22003,,60.88,,,,UTC+0900,1pqYBn0PvJ,,,eca93825-511d-49e5-9a79-4cdfb13a7b06.com.samsung.health.exercise.live_data.json,,1.2631453,com.sec.android.app.shealth,,,,52:51.0,eca93825-511d-49e5-9a79-4cdfb13a7b06
,,,,1,,,,4,0,0,,,,,,,,,664995,,,,53:00.0,1001,,,,,30001,,,,15:03.6,15:03.6,,1.5833334,,,1013,712.4,,50.559998,,,,UTC+0900,1pqYBn0PvJ,,,f24bdb98-175e-4ff1-8821-308fa4308c59.com.samsung.health.exercise.live_data.json,,1.0712863,com.sec.android.app.shealth,,,,04:04.0,f24bdb98-175e-4ff1-8821-308fa4308c59
,,,,1,,,,4,0,0,,,,,,,,,2361877,,,,51:00.0,1001,,,,,30001,,,,31:22.7,31:22.7,,1.75,,,3372,2525.57,,172.16,,,,UTC+0900,1pqYBn0PvJ,,,61c7be45-edf4-44e4-aaca-47f286a3000c.com.samsung.health.exercise.live_data.json,,1.0693063,com.sec.android.app.shealth,,,,30:21.0,61c7be45-edf4-44e4-aaca-47f286a3000c
,,,,1,,,,4,0,0,,,,,,,,,635580,,,,43:28.0,1001,,,,,30001,,,,22:20.2,22:20.2,,1.6666666,,,1164,818.4,,59.1,,,,UTC+0900,1pqYBn0PvJ,,,7364907e-f4a3-4148-ba12-16201d047e71.com.samsung.health.exercise.live_data.json,,1.2876428,com.sec.android.app.shealth,,,,54:03.0,7364907e-f4a3-4148-ba12-16201d047e71
