com.samsung.shealth.food_frequent,6195017,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.91,2021-10-01 01:43:37.678,2021-10-01 01:43:37.678,0.91,0.91,0.91,6fPiwL19M5,com.sec.android.app.shealth,0.91,9b545a19-3b1e-40b7-acf6-31a3374bce73,8bb04a7f-83bb-4539-b1bc-89327000c4b9,0.91,
0.87,2021-10-01 01:43:37.680,2021-10-01 01:43:37.680,0.87,0.87,0.87,6fPiwL19M5,com.sec.android.app.shealth,0.87,e09a34e4-9192-4476-b97e-605755d0d6bb,df6ef39b-f611-4d36-b390-fba3c191c0c1,0.87,
0.67,2021-10-01 01:43:37.690,2021-10-01 01:43:37.690,0.67,0.67,0.67,6fPiwL19M5,com.sec.android.app.shealth,0.67,020c9d3b-c2a7-4e7f-863e-d3cb1df073c9,ef4f2559-f0e5-4df5-a502-1d75ecf73257,0.67,
0.63,2021-10-01 01:43:37.691,2021-10-01 01:43:37.691,0.63,0.63,0.63,6fPiwL19M5,com.sec.android.app.shealth,0.63,d31c76b0-4abb-4fcd-8a2e-520171160e49,51b3811e-7d83-4997-bd33-199eced8b957,0.63,
0.91,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.91,0.91,0.91,O8xSl/tW6F,com.sec.android.app.shealth,0.91,CC41F2E5-AE21-4ED5-98B6-CC5DC01C410F,CFC29B95-1AE2-4E5B-A06D-2F0BDBA0AA5A,0.91,
0.75,2021-10-01 07:30:04.070,2021-10-01 07:30:04.070,0.75,0.75,0.75,O8xSl/tW6F,com.sec.android.app.shealth,0.75,146654B4-DEAD-428E-8D01-2DE45F09A03C,43AB5797-3A08-448E-B270-178CD4BAD271,0.75,
0.95,2019-12-26 23:15:18.641,2019-12-26 23:15:18.641,0.95,0.95,0.95,1pqYBn0PvJ,com.sec.android.app.shealth,0.95,697a5d25-7631-4cc0-ad13-0e9795a2b7b5,7c2964a4-a5d4-4cdd-b935-1db0f653734a,0.95,
0.91,2019-12-26 23:15:18.642,2019-12-26 23:15:18.642,0.91,0.91,0.91,1pqYBn0PvJ,com.sec.android.app.shealth,0.91,f203c70c-6692-4a2f-a6b2-f1cfb860715e,5e915552-891f-4b49-bec2-2078ee1e405f,0.91,
0.99,2019-12-26 23:15:18.641,2019-12-26 23:15:18.641,0.99,0.99,0.99,1pqYBn0PvJ,com.sec.android.app.shealth,0.99,d78864b0-d4c8-4559-8d41-a690056e0312,70a589f2-65b0-450f-90a8-c1f3893fe745,0.99,
0.83,2021-10-01 01:43:37.681,2021-10-01 01:43:37.681,0.83,0.83,0.83,6fPiwL19M5,com.sec.android.app.shealth,0.83,fcd81092-5b24-4980-9444-3a01e43451d9,ed14d5fe-5f01-44f0-84d3-1acc5866edde,0.83,
0.75,2021-10-07 05:14:22.375,2021-10-07 05:14:22.375,0.75,0.75,0.75,6GQM7Ab3PF,com.sec.android.app.shealth,0.75,91c53aa5-f39a-4a57-9070-0e84752d07af,15250c8f-a241-49f6-9008-f5cb84461681,0.75,
