com.samsung.shealth.sleep_snoring,6195017,2
duration,start_time,custom,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
85473,2021-10-02 16:02:36.049,,2021-10-02 22:08:37.668,2021-10-02 22:08:37.668,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:04:01.522,2272b0ab-4c7d-4676-b59a-bdb0c9d27778,
295840,2021-10-02 16:50:35.958,,2021-10-02 22:08:37.670,2021-10-02 22:08:37.670,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:55:31.798,c9396a4e-6cac-4cc8-ae5b-6b2d8858c2fe,
204449,2021-10-02 18:23:06.660,,2021-10-02 22:08:37.672,2021-10-02 22:08:37.672,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 18:26:31.109,ec03c72b-eb5b-46d2-ad8a-057d144f0779,
207692,2021-10-02 16:04:35.681,,2021-10-02 22:08:37.668,2021-10-02 22:08:37.668,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:08:03.373,16cf8e8e-0b16-4a8a-a4ef-c4b836f4b8b6,
80752,2021-10-02 17:02:38.041,,2021-10-02 22:08:37.670,2021-10-02 22:08:37.670,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 17:03:58.793,27a11813-3ad7-454e-8547-ea12ede382dc,
595191,2021-10-02 19:52:36.350,,2021-10-02 22:08:37.673,2021-10-02 22:08:37.673,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:02:31.541,1d7bfc40-19aa-4e6b-a147-89fda643a8aa,
324449,2021-10-02 18:57:37.309,,2021-10-02 22:08:37.672,2021-10-02 22:08:37.672,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 19:03:01.758,b89fa90d-5a19-4ee8-b5c7-9c4f9165aad1,
177139,2021-10-02 16:18:05.400,,2021-10-02 22:08:37.669,2021-10-02 22:08:37.669,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:21:02.539,b09ea4fb-333b-4676-a049-489fda2d1442,
292039,2021-10-02 20:17:40.985,,2021-10-02 22:08:37.674,2021-10-02 22:08:37.674,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:22:33.024,25d283a0-87f3-437c-9b45-1aa7c55d026c,
142039,2021-10-02 20:54:38.916,,2021-10-02 22:08:37.676,2021-10-02 22:08:37.676,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 20:57:00.955,13b1b00d-5d37-4762-a0e2-fa35bc1851cc,
81680,2021-10-02 16:11:42.447,,2021-10-02 22:08:37.668,2021-10-02 22:08:37.668,UTC+0900,DQQ9M5Fmpd,com.sec.android.app.shealth,2021-10-02 16:13:04.127,ee4726ca-aa36-4f67-a55a-e4d652121b94,
