com.samsung.shealth.step_daily_trend,6195017,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
53a9f477-16dc-4617-91e6-8ba3a088eaf2.binning_data.json,2021-10-02 15:00:04.943,2021-10-01 01:43:47.416,com.sec.android.app.shealth,102,7383,1.2718982,5136.353,222.09998,DQQ9M5Fmpd,com.sec.android.app.shealth,53a9f477-16dc-4617-91e6-8ba3a088eaf2,1633046400000,
3f0ef1fb-a2fd-4d14-ac88-da60da034503.binning_data.json,2021-10-05 07:31:36.184,2021-10-01 21:04:00.755,com.sec.android.app.shealth,-2,2611,1.3341812,1992.3297,128.76001,VfS0qUERdZ,com.sec.android.app.shealth,3f0ef1fb-a2fd-4d14-ac88-da60da034503,1633132800000,
ecc04a11-3815-4026-b097-41e0c1a00e76.binning_data.json,2021-10-05 07:03:10.160,2021-10-05 07:03:10.160,com.sec.android.app.shealth,0,4519,1.3373274,3345.83,248.24,6fPiwL19M5,com.sec.android.app.shealth,ecc04a11-3815-4026-b097-41e0c1a00e76,1631145600000,
e62988e4-2fb7-49d7-86b5-9c7d9f13f815.binning_data.json,2021-10-05 07:31:36.161,2021-10-04 22:01:53.020,com.sec.android.app.shealth,-2,3636,1.2570755,2737.79,181.94,VfS0qUERdZ,com.sec.android.app.shealth,e62988e4-2fb7-49d7-86b5-9c7d9f13f815,1633305600000,
f37319a5-ad26-445d-ab4b-552b2e41e037.binning_data.json,2021-10-05 07:03:11.639,2021-10-01 15:51:43.621,com.sec.android.app.shealth,0,9124,1.2967179,6395.0103,367.95,6fPiwL19M5,com.sec.android.app.shealth,f37319a5-ad26-445d-ab4b-552b2e41e037,1633046400000,
7e80509c-ddcc-4ecb-be2d-25a5574db0ed.binning_data.json,2021-10-05 07:03:10.492,2021-10-05 07:03:10.492,com.sec.android.app.shealth,0,5015,1.2990278,3673.16,269.6,6fPiwL19M5,com.sec.android.app.shealth,7e80509c-ddcc-4ecb-be2d-25a5574db0ed,1631750400000,
e091d0a0-25ae-48ce-8d8b-ab19ed4677a3.binning_data.json,2021-10-05 07:31:36.731,2021-10-01 01:43:48.242,com.sec.android.app.shealth,-2,12054,1.2991024,8465.864,454.07996,VfS0qUERdZ,com.sec.android.app.shealth,e091d0a0-25ae-48ce-8d8b-ab19ed4677a3,1633046400000,
c9c817b7-33a0-45ff-8141-028410ab2eb6.binning_data.json,2021-10-05 07:03:10.196,2021-10-05 07:03:10.196,com.sec.android.app.shealth,0,2794,1.3383081,2141.97,139.47,6fPiwL19M5,com.sec.android.app.shealth,c9c817b7-33a0-45ff-8141-028410ab2eb6,1631404800000,
ca976759-badf-4ecb-9b73-4a4bd022b1cd.binning_data.json,2021-10-05 07:03:10.760,2021-10-05 07:03:10.760,com.sec.android.app.shealth,0,4183,1.3121253,3193.91,208.33,6fPiwL19M5,com.sec.android.app.shealth,ca976759-badf-4ecb-9b73-4a4bd022b1cd,1631923200000,
ea5cbe2d-9cea-4c4e-9c4b-11dc9ce4f79e.binning_data.json,2021-10-05 07:03:11.031,2021-10-05 07:03:11.031,com.sec.android.app.shealth,0,5264,1.3217578,3965.91,268.32,6fPiwL19M5,com.sec.android.app.shealth,ea5cbe2d-9cea-4c4e-9c4b-11dc9ce4f79e,1632009600000,
