com.samsung.shealth.stress,6195017,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2021-10-04 13:21:34.000,,,10000,2021-10-04 13:21:34.591,2021-10-04 13:21:34.591,,,0.0,,UTC+0900,DQQ9M5Fmpd,,com.sec.android.app.shealth,2021-10-04 13:21:34.000,8166aace-057d-45e3-af0b-914fc56ccc7f,
2020-11-23 07:32:43.799,563669c0-f1fc-4fe5-ba60-ec430338d150.custom.json,,10000,2020-11-23 07:32:50.468,2020-11-23 07:32:50.468,0.0,0.0,0.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2020-11-23 07:32:43.799,563669c0-f1fc-4fe5-ba60-ec430338d150,
2020-05-25 03:16:53.209,7bb2cdcb-7176-4f2c-ac20-02abe4c8f1bb.custom.json,,10001,2020-05-25 03:16:56.779,2020-05-25 03:16:56.779,5.0,5.0,5.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2020-05-25 03:16:53.209,7bb2cdcb-7176-4f2c-ac20-02abe4c8f1bb,
2021-04-19 04:38:41.393,ea6868c9-311a-480e-93f5-07fce1b849e6.custom.json,,10000,2021-04-19 04:38:58.056,2021-04-19 04:38:58.056,79.0,79.0,79.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2021-04-19 04:38:41.393,ea6868c9-311a-480e-93f5-07fce1b849e6,
2021-10-12 07:21:21.000,,,10000,2021-10-12 07:21:21.254,2021-10-12 07:21:21.254,,,1.0,,UTC+0900,DQQ9M5Fmpd,,com.sec.android.app.shealth,2021-10-12 07:21:21.000,54324780-dafb-47cf-88a4-e8995f98e73a,
2020-05-25 03:16:10.401,e4a7a7bd-5430-4fee-a7a5-80a1f370d1b4.custom.json,,10001,2020-05-25 03:16:18.285,2020-05-25 03:16:18.285,4.0,4.0,4.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2020-05-25 03:16:10.401,e4a7a7bd-5430-4fee-a7a5-80a1f370d1b4,
2020-05-24 04:12:40.881,a00bffad-4d35-4ae6-8431-e74b8fb54031.custom.json,,10001,2020-05-24 04:12:49.740,2020-05-24 04:12:49.740,1.0,1.0,1.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2020-05-24 04:12:40.881,a00bffad-4d35-4ae6-8431-e74b8fb54031,
2021-10-12 02:32:33.000,,,10000,2021-10-12 02:32:33.762,2021-10-12 02:32:33.762,,,0.0,,UTC+0900,DQQ9M5Fmpd,,com.sec.android.app.shealth,2021-10-12 02:32:33.000,f09b951b-adef-479f-93b5-74451ce9254b,
2021-10-20 06:16:46.000,,,10000,2021-10-20 06:16:46.593,2021-10-20 06:16:46.593,,,0.0,,UTC+0900,DQQ9M5Fmpd,,com.sec.android.app.shealth,2021-10-20 06:16:46.000,0f9bdf35-e93c-40ec-8858-6f1fb0ce9af8,
2021-10-22 09:47:06.000,,,10000,2021-10-22 09:47:06.810,2021-10-22 09:47:06.810,,,0.0,,UTC+0900,DQQ9M5Fmpd,,com.sec.android.app.shealth,2021-10-22 09:47:06.000,23496de3-c303-4e46-b10f-6a7fe9221741,
2020-08-20 06:10:14.729,b4d616ab-cadb-4769-85dd-5d96f1838541.custom.json,,10000,2020-08-20 06:10:19.961,2020-08-20 06:10:19.961,1.0,1.0,1.0,1,UTC+0900,1pqYBn0PvJ,,com.sec.android.app.shealth,2020-08-20 06:10:14.729,b4d616ab-cadb-4769-85dd-5d96f1838541,
